Facility Name,Cases,Fatalities,type,date,
West View Nursing Center (West Warwick),60 to 64,5 to 9,nursing home,5/29/2020,
Woonsocket Health Center (Woonsocket),85 to 89,15 to 19,nursing home,5/29/2020,
Total Cases and Fatalities Long Term Care Facilities,2455 to 2459,520 to 524,nursing home,5/29/2020,
Capitol Ridge at Providence (Providence),10 to 14,Fewer than five,assisted living,5/29/2020,
Darlington Memory Lane  (North Providence - 1073 Mineral Spring),60 to 64,10 to 14,assisted living,5/29/2020,
Franklin Court Assisted Living  (Bristol),2 to 4,0,assisted living,5/29/2020,
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,5/29/2020,
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,5/29/2020,
Spring Villa Memory Care (West Warwick),2 to 4,0,assisted living,5/29/2020,
Stillwater Assisted Living (Greenville),5 to 9,0,assisted living,5/29/2020,
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,5/29/2020,
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,5/29/2020,
Total Cases and Fatalities Assisted Living Facilities,150 to 154,30 to 34,assisted living,5/29/2020,
Ballou Home (Woonsocket),5 to 9,0,nursing home,6/5/2020,
Bannister House (Providence),5 to 9,0,nursing home,6/5/2020,
Berkshire Place (Providence),165 to 169,20 to 24,nursing home,6/5/2020,
Bethany Home (Providence),15 to 19,Fewer than five,nursing home,6/5/2020,
Brentwood Nursing Home (Warwick),35 to 39,5 to 9,nursing home,6/5/2020,
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,6/5/2020,
Brookdale Sakonnet Bay (Tiverton),5 to 9,0,nursing home,6/5/2020,
Cedar Crest (Cranston),2 to 4,0,nursing home,6/5/2020,
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,6/5/2020,
Cherry Hill Manor (Johnston),65 to 69,15 to 19,nursing home,6/5/2020,
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,6/5/2020,
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,10 to 14,nursing home,6/5/2020,
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,6/5/2020,
Elmhurst Healthcare Center (Providence),60 to 64,15 to 19,nursing home,6/5/2020,
Elmwood Nursing and Rehab Center (Providence),40 to 44,Fewer than five,nursing home,6/5/2020,
Evergreen House Health Center (East Providence),110 to 114,Fewer than five,nursing home,6/5/2020,
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,6/5/2020,
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,6/5/2020,
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,6/5/2020,
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,6/5/2020,
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,15 to 19,nursing home,6/5/2020,
Greenwood Center (Warwick),2 to 4,0,nursing home,6/5/2020,
Hallworth House (Providence),25 to 29,10 to 14,nursing home,6/5/2020,
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,6/5/2020,
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,6/5/2020,
Heritage Hills (Smithfield),5 to 9,0,nursing home,6/5/2020,
Hopkins Manor (North Providence),100 to 104,15 to 19,nursing home,6/5/2020,
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,6/5/2020,
Linn Health & Rehab Center (East Providence),35 to 39,5 to 9,nursing home,6/5/2020,
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,6/5/2020,
Oak Hill Health Center *(Pawtucket),80 to 84,20 to 24,nursing home,6/5/2020,
Oakland Grove Health Center (Woonsocket),70 to 74,20 to 24,nursing home,6/5/2020,
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,6/5/2020,
Rhode Island Veterans Home (Bristol),15 to 19,Fewer than five,nursing home,6/5/2020,
Riverview Healthcare Community (Coventry),40 to 44,5 to 9,nursing home,6/5/2020,
Saint Antoine Residence (North Smithfield),65 to 69,15 to 19,nursing home,6/5/2020,
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,6/5/2020,
Scalabrini Villa (North Kingstown),65 to 69,20 to 24,nursing home,6/5/2020,
South County Nursing Center (North Kingstown),80 to 84,20 to 24,nursing home,6/5/2020,
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,6/5/2020,
Steere House Nursing and Rehab (Providence),65 to 69,15 to 19,nursing home,6/5/2020,
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,6/5/2020,
Summit Commons (Providence),105 to 109,20 to 24,nursing home,6/5/2020,
Trinity Health Center (Woonsocket),15 to 19,Fewer than five,nursing home,6/5/2020,
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,6/5/2020,
Waterview Villa (East Providence),40 to 44,5 to 9,nursing home,6/5/2020,
West Shore Health Center (Warwick),105 to 109,35 to 39,nursing home,6/5/2020,
West View Nursing Center (West Warwick),60 to 64,15 to 19,nursing home,6/5/2020,
Woonsocket Health Center (Woonsocket),85 to 89,15 to 19,nursing home,6/5/2020,
Total,"2,445 to 2,449",581 to 584,nursing home,6/5/2020,
Capitol Ridge at Providence (Providence),10 to 14,Fewer than five,assisted living,6/5/2020,
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,6/5/2020,
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,6/5/2020,
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,6/5/2020,
Spring Villa Memory Care (West Warwick),10 to 14,0,assisted living,6/5/2020,
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,6/5/2020,
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,6/5/2020,
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,6/5/2020,
Total,160 to 164,30 to 34,assisted living,6/5/2020,
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-06-11
Bannister House (Providence),5 to 9,0,nursing home,2020-06-11
Berkshire Place (Providence),165 to 169,25 to 29,nursing home,2020-06-11
Bethany Home (Providence),15 to 19,Fewer than five,nursing home,2020-06-11
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-06-11
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-06-11
Brookdale Sakonnet Bay (Tiverton),5 to 9,0,nursing home,2020-06-11
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-06-11
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-06-11
Cherry Hill Manor (Johnston),70 to 74,15 to 19,nursing home,2020-06-11
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-06-11
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,10 to 14,nursing home,2020-06-11
Eastgate Nursing & Rehab (East Providence),45 to 49,10 to 14,nursing home,2020-06-11
Elmhurst Healthcare Center (Providence),60 to 64,15 to 19,nursing home,2020-06-11
Elmwood Nursing and Rehab Center (Providence),40 to 44,5 to 9,nursing home,2020-06-11
Evergreen House Health Center (East Providence),110 to 114,10 to 14,nursing home,2020-06-11
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-06-11
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-06-11
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-06-11
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-06-11
Greenville Skilled Nursing & Rehabilitation (Greenville),70 to 74,20 to 24,nursing home,2020-06-11
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-06-11
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-06-11
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-06-11
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-06-11
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-06-11
Holiday Retirement Home (Manville),15 to 19,0,nursing home,2020-06-11
Hopkins Manor (North Providence),100 to 104,15 to 19,nursing home,2020-06-11
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-06-11
Linn Health & Rehab Center (East Providence),30 to 34,10 to 14,nursing home,2020-06-11
Morgan Health Center Nursing and Rehab *(Johnston),10 to 14,0,nursing home,2020-06-11
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-06-11
Oak Hill Health Center *(Pawtucket),80 to 84,25 to 29,nursing home,2020-06-11
Oakland Grove Health Center (Woonsocket),70 to 74,20 to 24,nursing home,2020-06-11
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,2020-06-11
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-06-11
Riverview Healthcare Community (Coventry),40 to 44,5 to 9,nursing home,2020-06-11
Saint Antoine Residence (North Smithfield),60 to 64,20 to 24,nursing home,2020-06-11
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-06-11
Scalabrini Villa (North Kingstown),65 to 69,20 to 24,nursing home,2020-06-11
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-06-11
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-06-11
Steere House Nursing and Rehab (Providence),65 to 69,20 to 24,nursing home,2020-06-11
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-06-11
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-06-11
Trinity Health Center (Woonsocket),15 to 19,Fewer than five,nursing home,2020-06-11
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-06-11
Waterview Villa (East Providence),40 to 44,5 to 9,nursing home,2020-06-11
West Shore Health Center (Warwick),105 to 109,35 to 39,nursing home,2020-06-11
West View Nursing Center (West Warwick),60 to 64,15 to 19,nursing home,2020-06-11
Woonsocket Health Center (Woonsocket),85 to 89,15 to 19,nursing home,2020-06-11
Total,2495-2499,625 to 629,nursing home,2020-06-11
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-06-11
Capitol Ridge at Providence (Providence),15 to 19,5 to 9,assisted living,2020-06-11
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-06-11
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-06-11
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-06-11
Spring Villa Memory Care (West Warwick),10 to 14,Fewer than five,assisted living,2020-06-11
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-06-11
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,2020-06-11
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-06-11
Total,165-169,35 to 39,assisted living,2020-06-11
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-06-19
Bannister House (Providence),5 to 9,0,nursing home,2020-06-19
Berkshire Place (Providence),165 to 169,30 to 34,nursing home,2020-06-19
Bethany Home (Providence),15 to 19,Fewer than five,nursing home,2020-06-19
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-06-19
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-06-19
Brookdale Sakonnet Bay (Tiverton),5 to 9,Fewer than five,nursing home,2020-06-19
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-06-19
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-06-19
Cherry Hill Manor (Johnston),70 to 74,20 to 24,nursing home,2020-06-19
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-06-19
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-06-19
Eastgate Nursing & Rehab (East Providence),45 to 49,10 to 14,nursing home,2020-06-19
Elmhurst Healthcare Center (Providence),60 to 64,20 to 24,nursing home,2020-06-19
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-06-19
Evergreen House Health Center (East Providence),110 to 114,15 to 19,nursing home,2020-06-19
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-06-19
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-06-19
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-06-19
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-06-19
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-06-19
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-06-19
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-06-19
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-06-19
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-06-19
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-06-19
Holiday Retirement Home (Manville),45 to 49,5 to 9,nursing home,2020-06-19
Hopkins Manor (North Providence),100 to 105,20 to 24,nursing home,2020-06-19
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-06-19
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-06-19
Morgan Health Center Nursing and Rehab (Johnston),15 to 19,Fewer than five,nursing home,2020-06-19
Mount St. Rita (Cumberland),80 to 84,20 to 24,nursing home,2020-06-19
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-06-19
Oakland Grove Health Center (Woonsocket),70 to 74,20 to 24,nursing home,2020-06-19
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,2020-06-19
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-06-19
Riverview Healthcare Community (Coventry),55 to 59,5 to 9,nursing home,2020-06-19
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-06-19
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-06-19
Scalabrini Villa (North Kingstown),65 to 69,20 to 24,nursing home,2020-06-19
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-06-19
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-06-19
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-06-19
Steere House Nursing and Rehab (Providence),75 to 79,20 to 24,nursing home,2020-06-19
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-06-19
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-06-19
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-06-19
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-06-19
Waterview Villa (East Providence),45 to 49,5 to 9,nursing home,2020-06-19
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-06-19
West View Nursing Center (West Warwick),60 to 64,15 to 19,nursing home,2020-06-19
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-06-19
Total,2570-2574,675 to 679,nursing home,2020-06-19
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-06-19
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-06-19
Darling Assisted Living Center (Pawtucket),2 to 4,0,assisted living,2020-06-19
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-06-19
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-06-19
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-06-19
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-06-19
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-06-19
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,2020-06-19
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-06-19
Total,175 to 179,40 to 44,assisted living,2020-06-19
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-06-29
Bannister House (Providence),5 to 9,0,nursing home,2020-06-29
Berkshire Place (Providence),165 to 169,30 to 34,nursing home,2020-06-29
Bethany Home (Providence),15 to 19,Fewer than five,nursing home,2020-06-29
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-06-29
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-06-29
Brookdale Sakonnet Bay (Tiverton),14,0,nursing home,2020-06-29
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-06-29
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-06-29
Cherry Hill Manor (Johnston),75 to 79,20 to 24,nursing home,2020-06-29
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-06-29
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-06-29
Eastgate Nursing & Rehab (East Providence),45 to 49,10 to 14,nursing home,2020-06-29
Elmhurst Healthcare Center (Providence),60 to 64,20 to 24,nursing home,2020-06-29
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-06-29
Evergreen House Health Center (East Providence),110 to 114,15 to 19,nursing home,2020-06-29
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-06-29
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-06-29
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-06-29
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-06-29
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-06-29
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-06-29
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-06-29
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-06-29
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-06-29
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-06-29
Holiday Retirement Home (Manville),90 to 94,15 to 19,nursing home,2020-06-29
Hopkins Manor (North Providence),100 to 104,20 to 24,nursing home,2020-06-29
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-06-29
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-06-29
Morgan Health Center Nursing and Rehab (Johnston),20 to 24,5 to 9,nursing home,2020-06-29
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-06-29
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-06-29
