school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
360 High School,Providence,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
A Venture Academy,Providence,0,Fewer than five,0,0,in person,2021-01-13
Alan Shawn Feinstein Elementary at Broad Street,Providence,Fewer than five,10 to 14,0,10 to 14,in person,2021-01-13
Alfred Lima Sr. Elementary School,Providence,0,15 to 19,Fewer than five,5 to 9,in person,2021-01-13
Anthony Carnevale Elementary School,Providence,0,10 to 14,Fewer than five,10 to 14,in person,2021-01-13
Asa Messer Elementary School,Providence,0,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
Carl G. Lauro Elementary School,Providence,0,5 to 9,Fewer than five,10 to 14,in person,2021-01-13
Central High School,Providence,Fewer than five,20 to 24,Fewer than five,5 to 9,in person,2021-01-13
Charles N. Fortes Elementary School,Providence,0,10 to 14,0,Fewer than five,in person,2021-01-13
Classical High School,Providence,0,50 to 54,0,5 to 9,in person,2021-01-13
Dr. Jorge Alvarez High School,Providence,0,15 to 19,0,Fewer than five,in person,2021-01-13
"Dr. Martin Luther King, Jr. Elementary School",Providence,0,5 to 9,0,5 to 9,in person,2021-01-13
E-Cubed Academy,Providence,0,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
Esek Hopkins Middle School,Providence,Fewer than five,15 to 19,0,Fewer than five,in person,2021-01-13
Frank D. Spaziano Elementary School,Providence,0,10 to 14,0,Fewer than five,in person,2021-01-13
Frank D. Spaziano Elementary School Annex,Providence,0,Fewer than five,0,5 to 9,in person,2021-01-13
George J. West Elementary School,Providence,0,20 to 24,0,5 to 9,in person,2021-01-13
Gilbert Stuart Middle School,Providence,Fewer than five,15 to 19,Fewer than five,10 to 14,in person,2021-01-13
Governor Christopher DelSesto Middle School,Providence,0,15 to 19,Fewer than five,10 to 14,in person,2021-01-13
Harry Kizirian Elementary School,Providence,Fewer than five,15 to 19,0,5 to 9,in person,2021-01-13
Highlander Charter School/Mariposa Center@Meeting St.School,Providence,0,Fewer than five,0,0,in person,2021-01-13
Hope High School,Providence,0,25 to 29,Fewer than five,15 to 19,in person,2021-01-13
Leviton Dual Language School,Providence,0,10 to 14,0,Fewer than five,in person,2021-01-13
Lillian Feinstein Elementary Sackett Street,Providence,0,10 to 14,0,5 to 9,in person,2021-01-13
Love 4 All Childcare Center,Providence,0,Fewer than five,0,0,in person,2021-01-13
Mary E. Fogarty Elementary School,Providence,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Mount Pleasant High School,Providence,Fewer than five,15 to 19,Fewer than five,10 to 14,in person,2021-01-13
Nathan Bishop Middle School,Providence,Fewer than five,15 to 19,0,10 to 14,in person,2021-01-13
Nathanael Greene Middle School (Providence),Providence,0,20 to 24,Fewer than five,10 to 14,in person,2021-01-13
PPSD Multiple Pathway Evening Program,Providence,0,0,0,Fewer than five,in person,2021-01-13
Pleasant View School,Providence,Fewer than five,15 to 19,Fewer than five,10 to 14,in person,2021-01-13
Providence Career and Technical Academy,Providence,Fewer than five,30 to 34,0,5 to 9,in person,2021-01-13
Providence Transition Academy and Providence Autism School to Tomorrow Academy,Providence,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Reservoir Avenue School,Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
Robert F. Kennedy Elementary School,Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
Robert L Bailey IV Elementary School,Providence,0,10 to 14,0,5 to 9,in person,2021-01-13
Roger Williams Middle School,Providence,0,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
The Sgt. Cornel Young Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex,Providence,0,15 to 19,0,5 to 9,in person,2021-01-13
Times2 Elementary School,Providence,0,15 to 19,0,5 to 9,in person,2021-01-13
Times2 Middle/High School,Providence,0,10 to 14,Fewer than five,10 to 14,in person,2021-01-13
Vartan Gregorian Elementary School,Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
Veazie Street School,Providence,0,5 to 9,0,5 to 9,in person,2021-01-13
Webster Avenue School,Providence,0,10 to 14,Fewer than five,10 to 14,in person,2021-01-13
West Broadway Middle School,Providence,Fewer than five,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",Providence,0,10 to 14,Fewer than five,15 to 19,in person,2021-01-13
William D'Abate Elementary School,Providence,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Rhode Island School for the Deaf,R.I. Sch for the Deaf,0,5 to 9,0,Fewer than five,in person,2021-01-13
RISE Prep Mayoral Academy Elementary School,RISE Prep Mayoral Academy,0,5 to 9,0,Fewer than five,in person,2021-01-13
RISE Prep Mayoral Academy Middle School,RISE Prep Mayoral Academy,0,Fewer than five,0,0,in person,2021-01-13
RI Nurses Institute Middle College Charter High School,Rhode Island Nurses Institute Middle College,0,Fewer than five,0,0,in person,2021-01-13
Clayville Elementary School,Scituate,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Hope Elementary School,Scituate,0,5 to 9,0,0,in person,2021-01-13
North Scituate Elementary School,Scituate,0,5 to 9,0,Fewer than five,in person,2021-01-13
Scituate High School,Scituate,0,5 to 9,0,5 to 9,in person,2021-01-13
Scituate Middle School,Scituate,0,5 to 9,0,Fewer than five,in person,2021-01-13
Segue Institute for Learning,Segue Institute for Learning,0,10 to 14,0,5 to 9,in person,2021-01-13
Sheila Skip Nowell Leadership Academy (Capital Campus),Sheila Skip Nowell Leadership Academy,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-13
Anna M. McCabe School,Smithfield,0,5 to 9,0,5 to 9,in person,2021-01-13
Momentum Professional Behavioral Services,Smithfield,0,Fewer than five,0,0,in person,2021-01-13
Old County Road School,Smithfield,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Raymond C. LaPerche School,Smithfield,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Smithfield Senior High School,Smithfield,0,55 to 59,Fewer than five,5 to 9,in person,2021-01-13
Vincent J. Gallagher Middle School,Smithfield,0,25 to 29,0,5 to 9,in person,2021-01-13
William Winsor School,Smithfield,0,15 to 19,0,Fewer than five,in person,2021-01-13
Broad Rock Middle School,South Kingstown,0,10 to 14,0,5 to 9,in person,2021-01-13
Curtis Corner Middle School,South Kingstown,0,10 to 14,0,Fewer than five,in person,2021-01-13
Matunuck School,South Kingstown,0,5 to 9,0,Fewer than five,in person,2021-01-13
Peace Dale Elementary School,South Kingstown,0,5 to 9,0,5 to 9,in person,2021-01-13
South Kingstown High School,South Kingstown,Fewer than five,20 to 24,0,5 to 9,in person,2021-01-13
Wakefield Elementary School,South Kingstown,0,Fewer than five,0,Fewer than five,in person,2021-01-13
West Kingston Elementary School,South Kingstown,0,Fewer than five,0,0,in person,2021-01-13
SouthSide Elementary Charter School,SouthSide Charter School,0,Fewer than five,0,Fewer than five,in person,2021-01-13
The Compass School,The Compass School,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
The Greene School,The Greene School,0,5 to 9,0,Fewer than five,in person,2021-01-13
The Hope Academy,The Hope Academy,0,5 to 9,0,Fewer than five,in person,2021-01-13
Fort Barton School,Tiverton,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Pocasset School,Tiverton,Fewer than five,Fewer than five,0,0,in person,2021-01-13
Tiverton High School,Tiverton,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Tiverton Middle School,Tiverton,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Walter E. Ranger School,Tiverton,Fewer than five,5 to 9,0,0,in person,2021-01-13
Trinity Academy for the Performing Arts,Trinity Academy for the Performing Arts,0,0,0,Fewer than five,in person,2021-01-13
Urban Collaborative Accelerated Program,Urban Collaborative,0,5 to 9,0,0,in person,2021-01-13
Village Green Virtual Charter School,Village Green Virtual,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Cedar Hill School,Warwick,0,5 to 9,0,5 to 9,in person,2021-01-13
Cottrell F. Hoxsie School,Warwick,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
E. G. Robertson School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-13
Greenwood School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-13
Harold F. Scott School,Warwick,0,Fewer than five,0,0,in person,2021-01-13
Holliman School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Lippitt School,Warwick,0,Fewer than five,0,0,in person,2021-01-13
Norwood School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Oakland Beach Elementary School,Warwick,0,Fewer than five,0,5 to 9,in person,2021-01-13
Park School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-13
Pilgrim High School,Warwick,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-13
Sherman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-13
Toll Gate High School,Warwick,0,15 to 19,0,0,in person,2021-01-13
Warwick Area Career and Technical Center,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Warwick Early Learning Center at John Brown Francis,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Warwick Neck School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Warwick Veterans Middle School,Warwick,0,Fewer than five,0,5 to 9,in person,2021-01-13
Westbay Community Action Children's Center,Warwick,0,0,0,Fewer than five,in person,2021-01-13
Winman Middle School,Warwick,0,0,0,Fewer than five,in person,2021-01-13
Wyman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-13
West Bay Collaborative,West Bay Collaborative,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Greenbush Elementary School,West Warwick,0,5 to 9,0,0,in person,2021-01-13
John F. Deering Middle School,West Warwick,0,15 to 19,0,5 to 9,in person,2021-01-13
John F. Horgan Elementary School,West Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-13
Maisie E. Quinn Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Wakefield Hills Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-13
West Warwick Senior High School,West Warwick,0,20 to 24,Fewer than five,5 to 9,in person,2021-01-13
Dunn's Corners School,Westerly,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Springbrook Elementary School,Westerly,0,Fewer than five,0,Fewer than five,in person,2021-01-13
State Street School,Westerly,0,10 to 14,0,5 to 9,in person,2021-01-13
Westerly High School,Westerly,Fewer than five,5 to 9,0,5 to 9,in person,2021-01-13
Westerly Inclusion Preschool Program - Babcock Hall,Westerly,0,Fewer than five,0,0,in person,2021-01-13
Westerly Middle School,Westerly,0,20 to 24,0,5 to 9,in person,2021-01-13
Bernon Heights School,Woonsocket,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Globe Park School,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Harris School,Woonsocket,0,5 to 9,0,Fewer than five,in person,2021-01-13
Kevin K. Coleman Elementary School,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Leo A. Savoie School,Woonsocket,0,5 to 9,0,Fewer than five,in person,2021-01-13
Pothier-Citizens Elementary Campus,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Woonsocket High School,Woonsocket,0,Fewer than five,0,5 to 9,in person,2021-01-13
Woonsocket Middle School at Hamlet,Woonsocket,0,Fewer than five,0,10 to 14,in person,2021-01-13
Woonsocket Middle School at Villa Nova,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Other*,,Fewer than five,65 to 69,10 to 14,210 to 214,in person,2021-01-13
,Total:,130 to 134,3415 to 3419,95 to 99,1700 to 1704,in person,2021-01-13
AF Iluminar Mayoral Academy Middle School,Achievement First Rhode Island,0,Fewer than five,0,0,virtual,2021-01-13
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,0,10 to 14,0,Fewer than five,virtual,2021-01-13
Achievement First Promesa Elementary,Achievement First Rhode Island,0,Fewer than five,0,0,virtual,2021-01-13
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-01-13
Barrington High School,Barrington,15 to 19,30 to 34,Fewer than five,Fewer than five,virtual,2021-01-13
Barrington Middle School,Barrington,Fewer than five,5 to 9,Fewer than five,Fewer than five,virtual,2021-01-13
Hampden Meadows School,Barrington,0,Fewer than five,0,0,virtual,2021-01-13
Nayatt School,Barrington,Fewer than five,5 to 9,0,0,virtual,2021-01-13
Primrose Hill School,Barrington,Fewer than five,Fewer than five,0,0,virtual,2021-01-13
Sowams Elementary School,Barrington,0,Fewer than five,0,0,virtual,2021-01-13
BEACON Charter School,Beacon Charter School,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-13
Founders Academy,Beacon Charter School,0,Fewer than five,0,0,virtual,2021-01-13
Blackstone Academy Charter School,Blackstone Academy,Fewer than five,20 to 24,0,0,virtual,2021-01-13
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",0,5 to 9,0,Fewer than five,virtual,2021-01-13
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,0,virtual,2021-01-13
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",0,25 to 29,Fewer than five,Fewer than five,virtual,2021-01-13
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",0,30 to 34,0,0,virtual,2021-01-13
Blackstone Valley Prep Junior High School (JHS),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,5 to 9,0,0,virtual,2021-01-13
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-13
Colt Andrews School,Bristol Warren,Fewer than five,Fewer than five,Fewer than five,Fewer than five,virtual,2021-01-13
Guiteras School,Bristol Warren,Fewer than five,Fewer than five,0,Fewer than five,virtual,2021-01-13
Hugh Cole School,Bristol Warren,5 to 9,10 to 14,0,0,virtual,2021-01-13
Kickemuit Middle School,Bristol Warren,Fewer than five,5 to 9,Fewer than five,Fewer than five,virtual,2021-01-13
Mt. Hope High School,Bristol Warren,5 to 9,35 to 39,Fewer than five,Fewer than five,virtual,2021-01-13
Rockwell School,Bristol Warren,5 to 9,10 to 14,Fewer than five,Fewer than five,virtual,2021-01-13
Austin T. Levy School,Burrillville,Fewer than five,Fewer than five,Fewer than five,Fewer than five,virtual,2021-01-13
Burrillville High School,Burrillville,Fewer than five,15 to 19,0,0,virtual,2021-01-13
Burrillville Middle School,Burrillville,Fewer than five,15 to 19,0,0,virtual,2021-01-13
Steere Farm Elementary School,Burrillville,Fewer than five,Fewer than five,0,Fewer than five,virtual,2021-01-13
William L. Callahan School,Burrillville,Fewer than five,5 to 9,0,0,virtual,2021-01-13
Bishop Hendricken High School,Catholic Schools,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-13
Bishop McVinney Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-13
Father John V. Doyle School,Catholic Schools,Fewer than five,Fewer than five,0,0,virtual,2021-01-13
Good Shepherd Catholic Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-13
Immaculate Conception Catholic Regional,Catholic Schools,Fewer than five,Fewer than five,Fewer than five,Fewer than five,virtual,2021-01-13
La Salle Academy,Catholic Schools,5 to 9,25 to 29,0,0,virtual,2021-01-13
Mount St. Charles Academy,Catholic Schools,Fewer than five,10 to 14,0,0,virtual,2021-01-13
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,Fewer than five,Fewer than five,0,0,virtual,2021-01-13
Sacred Heart School,Catholic Schools,0,0,0,Fewer than five,virtual,2021-01-13
St. Kevin School,Catholic Schools,Fewer than five,Fewer than five,0,0,virtual,2021-01-13
St. Margaret School,Catholic Schools,Fewer than five,Fewer than five,0,0,virtual,2021-01-13
St. Mary Academy-Bay View,Catholic Schools,Fewer than five,5 to 9,Fewer than five,Fewer than five,virtual,2021-01-13
